End Date,Daily Weighted Approve,Daily Weighted Disapprove,Daily Weighted Net,Total Weight,Days Since Start
2025-01-20,55.82,39.18,16.64,0.6750102411650641,0.0
2025-01-21,46.055,41.945,4.109999999999999,0.43750929230593594,1.0
2025-01-23,53.46760997126874,43.88590676247145,9.581703208797293,1.3718394697139935,3.0
2025-01-24,51.42389615865979,43.3548740692912,8.069022089368588,2.454811286850152,4.0
2025-01-26,48.16426349208768,46.11789584664051,2.0463676454471695,1.2641401339203029,6.0
2025-01-27,50.49096841874784,42.50867696405155,7.982291454696288,4.206895972734978,7.0
2025-01-28,50.89418748798963,44.04288718266621,6.85130030532342,3.7437122297805914,8.0
2025-01-29,50.675,46.325,4.349999999999994,1.0481253805208608,9.0
2025-01-30,52.675,44.325,8.349999999999994,1.0481279581995073,10.0
2025-01-31,50.92051778214109,43.80660859131254,7.113909190828551,2.462722604196853,11.0
2025-02-01,47.985,47.015,0.9699999999999989,0.8832324420770913,12.0
2025-02-02,46.685,51.315,-4.6299999999999955,0.623838250950256,13.0
2025-02-03,49.839730609342766,46.56662739463648,3.273103214706289,2.5793475371567562,14.0
2025-02-04,49.742178983528774,44.393363444312484,5.3488155392162895,1.5206825781010986,15.0
2025-02-05,49.81603130799704,47.41131743261444,2.4047138753825976,2.532797603015582,16.0
2025-02-06,49.73465429828528,44.91630150730762,4.818352790977656,2.645053817870097,17.0
2025-02-07,52.60352283012928,45.371165849925944,7.232356980203335,1.5525753681555414,18.0
2025-02-09,49.35595686067673,45.30971656081865,4.046240299858077,2.2657401239474417,20.0
2025-02-10,53.675,44.325,9.349999999999994,1.048158005468506,21.0
2025-02-11,49.6477702092828,44.73052467604053,4.917245533242266,1.951956255691767,22.0
2025-02-12,54.675,43.325,11.349999999999994,1.0481638254968548,23.0
2025-02-13,53.41402147933181,44.585978520668206,8.828042958663602,2.0207163788962905,24.0
2025-02-14,53.537806059542554,44.46219394045744,9.075612119085115,1.9314448736922603,25.0
2025-02-15,52.525,42.475,10.049999999999997,0.7024303167098146,26.0
2025-02-16,48.3138734030312,48.15629327019046,0.15758013284074224,1.7501393550505857,27.0
2025-02-17,48.37214925319287,47.0047929364074,1.3673563167854752,4.700063341729686,28.0
2025-02-18,49.051226884954296,47.26692859394718,1.7842982910071186,4.049269748327756,29.0
2025-02-19,51.68445188924611,47.31554811075388,4.368903778492232,2.019035574791247,30.0
2025-02-20,49.40537453965176,46.48257175016386,2.9228027894879034,3.74257527569504,31.0
2025-02-21,50.99512058092941,46.547564303457136,4.447556277472273,1.9314920353454177,32.0
2025-02-23,43.055,50.945,-7.890000000000001,0.434016312724983,34.0
2025-02-24,49.013738481082584,47.42719953521143,1.5865389458711547,3.0481582504682727,35.0
2025-02-25,48.95066517127867,45.324019303068226,3.6266458682104457,3.2704832245527315,36.0
2025-02-26,48.40521627672626,48.2516883778859,0.153527898840359,1.972611413345831,37.0
2025-02-27,50.22,49.78,0.4399999999999977,0.5371100217109408,38.0
2025-02-28,49.59139150018824,47.78635295619054,1.8050385439976964,3.4114545043909077,39.0
2025-03-01,47.505,47.695,-0.18999999999999773,0.4319083878661312,40.0
2025-03-02,48.50558233827042,49.39595684191927,-0.8903745036488502,2.3338747760748486,41.0
2025-03-03,48.64291865963215,47.96019918801256,0.6827194716195919,2.4547755504050777,42.0
2025-03-04,48.70894986040038,47.64808998701765,1.0608598733827321,1.9675275592221995,43.0
2025-03-05,48.035320192306784,48.46042778339886,-0.42510759109207896,3.1490177542695355,44.0
2025-03-06,48.319347439365345,47.37851379577019,0.9408336435951554,3.3065134909663003,45.0
2025-03-07,49.650031993658466,47.462299842818,2.1877321508404677,2.556313688728399,46.0
2025-03-09,47.19682489807447,50.31489353802243,-3.118068639947964,1.9758083609521075,48.0
2025-03-10,46.9658518146322,48.51135885999729,-1.5455070453650848,2.474526561170496,49.0
2025-03-11,48.94878614519202,48.192463962591134,0.7563221826008828,2.227962245439325,50.0
2025-03-12,49.087750723883545,49.41159912185826,-0.32384839797471443,2.0328238367013958,51.0
2025-03-13,51.37183042342691,46.654390000262175,4.7174404231647316,2.9037736142957478,52.0
2025-03-14,47.986082594731144,49.02078078282422,-1.0346981880930741,2.082244085042168,53.0
2025-03-16,45.27142909298098,52.03974522581834,-6.768316132837363,1.2544192087337975,55.0
2025-03-17,48.26094952503061,49.183430835540015,-0.9224813105094043,3.151774191279169,56.0
2025-03-18,48.97563102202316,48.44605240242745,0.5295786195957106,2.456426292046771,57.0
2025-03-19,50.99512676634153,47.00487323365847,3.990253532683056,1.931702455195132,58.0
2025-03-20,47.7184402270707,49.57019723652217,-1.8517570094514682,2.109637630187586,59.0
2025-03-21,52.675,45.325,7.349999999999994,1.0482974167031192,60.0
2025-03-23,45.83219225218394,51.74640239104099,-5.914210138857051,2.0606886457695595,62.0
2025-03-24,47.48983663401552,49.54340938000958,-2.0535727459940603,1.973930247851037,63.0
2025-03-25,51.05326198461154,46.393349111759676,4.659912872851862,1.5207918406908894,64.0
2025-03-26,51.675,47.325,4.349999999999994,1.0483202989978744,65.0
2025-03-27,48.74121913414233,47.59901255401429,1.1422065801280397,3.8526941695459804,66.0
2025-03-28,47.930278045588565,48.67889506658371,-0.7486170209951482,2.7629593966354973,67.0
2025-03-30,45.315,51.685,-6.3700000000000045,0.8224503853548838,69.0
2025-03-31,50.5457362073056,47.578865503784016,2.966870703521586,1.480293479810542,70.0
2025-04-01,47.587926699442086,49.48483939856658,-1.896912699124492,2.753861262507323,71.0
